Gene,Correlation,Uncorrected_P,FDR_P,Significant_FDR,Abs_Corr,AB_P
ZBED5,-0.2381371259869513,0.0001629885699841,0.0068286352530493,True,0.2381371259869513,0.004
FANCI,-0.2380935971264099,0.0001634527188029,0.0068286352530493,True,0.2380935971264099,0.001
TCTEX1D1,-0.2379480978796002,0.0001650131649803,0.0068286352530493,True,0.2379480978796002,0.0015
DIAPH2,0.2375466650546072,0.0001693909736104,0.0068286352530493,True,0.2375466650546072,0.0255
PRSS35,0.2375176458142462,0.0001697116132013,0.0068286352530493,True,0.2375176458142462,0.002
ANKRD34C,-0.2374547707934642,0.0001704082797241,0.0068286352530493,True,0.2374547707934642,0.0045
ZNF165,-0.2373939109977072,0.0001710851625903,0.0068286352530493,True,0.2373939109977072,0.002
LYRM9,0.2373584430372661,0.0001714807956586,0.0068286352530493,True,0.2373584430372661,0.0025
MAPK1,0.2373483669121407,0.0001715933473067,0.0068286352530493,True,0.2373483669121407,0.009
LRCH1,-0.2365918514377312,0.0001802437159275,0.007060231297009,True,0.2365918514377312,0.0015
B3GAT1,0.2364894780064579,0.0001814451218534,0.007060231297009,True,0.2364894780064579,0.001
CNIH2,0.2360396797808633,0.0001868129374172,0.0070985561845068,True,0.2360396797808633,0.001
AP4E1,-0.2359340819895499,0.0001880944457847,0.0070985561845068,True,0.2359340819895499,0.001
TMEM145,-0.2357575482773541,0.0001902551697992,0.0070985561845068,True,0.2357575482773541,0.0055
RGS20,0.2357345747120684,0.0001905380586361,0.0070985561845068,True,0.2357345747120684,0.002
LRRN3,-0.235444785353464,0.0001941403266759,0.0071566255159928,True,0.235444785353464,0.0
CHRDL1,0.2351932852703358,0.0001973180855349,0.0071816564758178,True,0.2351932852703358,0.0025
MAGEL2,-0.2350397251234259,0.0001992821645019,0.0071816564758178,True,0.2350397251234259,0.016
CRABP1,-0.2348446513409995,0.0002018035417818,0.0071816564758178,True,0.2348446513409995,0.0115
GABRA2,0.2345609076574703,0.0002055242107446,0.0071816564758178,True,0.2345609076574703,0.008
GRIA1,0.2344790895214527,0.0002066089101564,0.0071816564758178,True,0.2344790895214527,0.0065
MINDY3,-0.2344403972009714,0.0002071237304561,0.0071816564758178,True,0.2344403972009714,0.0
FGF18,-0.2340006751005021,0.0002130591911349,0.0073150322289662,True,0.2340006751005021,0.007
UPP1,-0.2336064970855993,0.0002185144453678,0.0073675620082123,True,0.2336064970855993,0.005
IGFBP5,0.2335863448353487,0.0002187968157778,0.0073675620082123,True,0.2335863448353487,0.006
MAFG,0.2325376217323047,0.0002339701850627,0.0078034627437125,True,0.2325376217323047,0.0015
LAG3,-0.2320765382465697,0.0002409471416484,0.007960348019366,True,0.2320765382465697,0.0015
YPEL1,0.2317512809275241,0.0002459849847636,0.0080508356695531,True,0.2317512809275241,0.007
KCTD15,0.2315610436851579,0.000248976865924,0.0080733054117214,True,0.2315610436851579,0.005
ZBTB1,-0.2308129921558537,0.000261073569123,0.0083878865969638,True,0.2308129921558537,0.0
NEUROD6,0.2304800769817128,0.0002666313181429,0.0084885716012408,True,0.2304800769817128,0.027
GGN,0.2297159036522081,0.0002798081206742,0.0087821695944579,True,0.2297159036522081,0.0115
IPO5P1,0.2296558499464612,0.0002808689304909,0.0087821695944579,True,0.2296558499464612,0.0245
FGF13,-0.2291762263904956,0.0002894765543091,0.0089712114441646,True,0.2291762263904956,0.078
PAG1,-0.2289073953721519,0.0002944079399289,0.0089728530297868,True,0.2289073953721519,0.011
INTU,0.2288940948869864,0.0002946539401557,0.0089728530297868,True,0.2288940948869864,0.0025
LINC02076,0.2285595675328256,0.0003009045063634,0.0090378755536712,True,0.2285595675328256,0.0035
CAMKV,0.2281976331183239,0.0003078060214516,0.0090378755536712,True,0.2281976331183239,0.013
MAP3K6,-0.228139594637602,0.0003089263314568,0.0090378755536712,True,0.228139594637602,0.0075
CDADC1,-0.2281234728374014,0.0003092382013731,0.0090378755536712,True,0.2281234728374014,0.019
CTNND2,0.2280722861217647,0.0003102303311554,0.0090378755536712,True,0.2280722861217647,0.002
TMEM237,-0.2279175168398398,0.000313248202427,0.0090378755536712,True,0.2279175168398398,0.0015
B4GALT2,0.2278356987038221,0.0003148546023837,0.0090378755536712,True,0.2278356987038221,0.002
CELF2,-0.2275721072705435,0.0003200821722459,0.0091132338797188,True,0.2275721072705435,0.01
PALM,0.2271090085597835,0.0003294623913427,0.0093046556006638,True,0.2271090085597835,0.0035
DOK6,0.2268925733920915,0.0003339334605558,0.0093554798309336,True,0.2268925733920915,0.004
KCNH6,-0.2266898417545699,0.0003381725627227,0.0093990501163096,True,0.2266898417545699,0.0115
GNAS,-0.2262734962643914,0.0003470356644669,0.0095424113264914,True,0.2262734962643914,0.0055
PRR5,0.2261336396476519,0.0003500610393639,0.0095424113264914,True,0.2261336396476519,0.002
RBP4,0.2259135770749147,0.0003548711051246,0.0095424113264914,True,0.2259135770749147,0.0095
SNHG8,0.225858762954233,0.0003560787360529,0.0095424113264914,True,0.225858762954233,0.0015
RAB37,-0.2257942757534308,0.0003575043680165,0.0095424113264914,True,0.2257942757534308,0.005
TBC1D4,-0.2256963358172127,0.0003596796959157,0.0095424113264914,True,0.2256963358172127,0.0035
RAPGEF4,0.2254081586386283,0.0003661519064095,0.00956595355707,True,0.2254081586386283,0.0005
FGL2,0.2252940969022097,0.0003687433984059,0.00956595355707,True,0.2252940969022097,0.0
TMSB4X,0.2252932908121996,0.0003687617733307,0.00956595355707,True,0.2252932908121996,0.006
FLJ23867,-0.2251179662350189,0.0003727785969656,0.0095797174691072,True,0.2251179662350189,0.002
NCOA3,-0.2249224894075876,0.0003773050313976,0.0095797174691072,True,0.2249224894075876,0.0095
MYO15A,-0.2248233403363544,0.0003796203801169,0.0095797174691072,True,0.2248233403363544,0.0005
TRIM37,-0.2247971424110285,0.0003802343598532,0.0095797174691072,True,0.2247971424110285,0.0095
CACNA1G,-0.2244049796211508,0.0003895361086637,0.0096763474668914,True,0.2244049796211508,0.0225
SCN1A,-0.2242957544247922,0.0003921642071645,0.0096763474668914,True,0.2242957544247922,0.003
DYDC2,0.2242078906136994,0.000394290263448,0.0096763474668914,True,0.2242078906136994,0.0085
MARCO,0.2241736317882733,0.0003951221267177,0.0096763474668914,True,0.2241736317882733,0.035
SF3B3,0.2238165339138317,0.0004038906373802,0.009822395917401,True,0.2238165339138317,0.015
CHRNA2,-0.2235142501600719,0.0004114540230667,0.0099232440670332,True,0.2235142501600719,0.0355
ASB13,-0.2233179672426305,0.0004164353587905,0.0099232440670332,True,0.2233179672426305,0.0015
WDR86,0.2233139367925804,0.0004165382289702,0.0099232440670332,True,0.2233139367925804,0.0045
NKAIN3,0.2227573316406574,0.0004309733145485,0.0101977604564117,True,0.2227573316406574,0.0015
FZD6,-0.2226118323938476,0.0004348225078773,0.0102197880710506,True,0.2226118323938476,0.002
STS,-0.2222809324447319,0.0004436955507527,0.0103588121249073,True,0.2222809324447319,0.006
DVL1,0.2220016222562578,0.0004513156331287,0.0104065041289987,True,0.2220016222562578,0.0075
BHLHE41,-0.2219883217710924,0.0004516815041712,0.0104065041289987,True,0.2219883217710924,0.009
DENND6A,-0.2214575114994902,0.0004665096430566,0.0105748782755773,True,0.2214575114994902,0.0035
FNDC5,-0.2213885908036329,0.0004684677029329,0.0105748782755773,True,0.2213885908036329,0.0015
FRAT2,-0.2211471668456301,0.0004753868930002,0.0105748782755773,True,0.2211471668456301,0.0025
MTA3,0.221113714110214,0.0004763530841806,0.0105748782755773,True,0.221113714110214,0.024
F12,0.2210988014450285,0.0004767843822704,0.0105748782755773,True,0.2210988014450285,0.037
RIPOR2,0.2210685730696525,0.0004776597459736,0.0105748782755773,True,0.2210685730696525,0.0035
NIT2,0.220896472852512,0.0004826719350292,0.0105748782755773,True,0.220896472852512,0.0075
RILPL2,0.2206647219746295,0.0004894984130094,0.0105748782755773,True,0.2206647219746295,0.006
ANOS1,0.2206103108989527,0.0004911140689774,0.0105748782755773,True,0.2206103108989527,0.002
GPM6B,0.2205784703435566,0.0004920618177032,0.0105748782755773,True,0.2205784703435566,0.014
FBXL16,0.2205736338034965,0.0004922059277324,0.0105748782755773,True,0.2205736338034965,0.0135
C11orf97,0.2201798588335987,0.0005040709842583,0.0107637596760539,True,0.2201798588335987,0.0055
RPL27A,0.2198582289195983,0.0005139582330514,0.0108319152458536,True,0.2198582289195983,0.032
ZFYVE19,-0.2197441671831796,0.0005175075529511,0.0108319152458536,True,0.2197441671831796,0.022
NDUFAF8,0.2196772617123474,0.0005196000373472,0.0108319152458536,True,0.2196772617123474,0.0005
PPM1M,0.2196732312622973,0.0005197263405552,0.0108319152458536,True,0.2196732312622973,0.01
SYTL5,0.2195777095961092,0.000522728062978,0.0108319152458536,True,0.2195777095961092,0.009
RALGPS2,0.2194096398290187,0.0005280485882534,0.0108778009180211,True,0.2194096398290187,0.001
ELOVL4,-0.2189908760688101,0.0005415241727913,0.011090161714125,True,0.2189908760688101,0.005
PIANP,0.2187377638056619,0.0005498228533756,0.0111946490262881,True,0.2187377638056619,0.0175
FAM114A1,0.2185934736938672,0.0005546061620067,0.0112267675106807,True,0.2185934736938672,0.0005
SPTSSB,-0.2183560801859145,0.0005625598096643,0.0112612934556423,True,0.2183560801859145,0.0015
LYPD5,-0.2182799046799671,0.0005651342881087,0.0112612934556423,True,0.2182799046799671,0.005
KBTBD3,-0.2182214631542402,0.0005671168043516,0.0112612934556423,True,0.2182214631542402,0.0015
ANKRD29,-0.2181610064034882,0.0005691744550681,0.0112612934556423,True,0.2181610064034882,0.0065
FILIP1,0.2178667835498287,0.0005792873507038,0.0113650573589863,True,0.2178667835498287,0.004
GSTM3,0.2178200303292471,0.0005809095566129,0.0113650573589863,True,0.2178200303292471,0.0015
CALML3,0.217690249837633,0.0005854346306844,0.0113899559814275,True,0.217690249837633,0.0055
IQSEC2,0.2175483779958683,0.0005904185932069,0.0114234580851417,True,0.2175483779958683,0.012
CYBB,0.2173637833835723,0.0005969621770489,0.0114866018902492,True,0.2173637833835723,0.0
EXTL2,-0.2172521399171837,0.0006009522492177,0.011500190036943,True,0.2172521399171837,0.0025
NOVA2,0.2171517817109355,0.0006045600326552,0.0115063545345578,True,0.2171517817109355,0.0175
KCNC4,-0.2170598874497925,0.0006078811048256,0.0115070250221596,True,0.2170598874497925,0.0005
HNRNPC,0.216953080523464,0.0006117623222827,0.0115182346915825,True,0.216953080523464,0.004
PPP4R4,0.2166205683943282,0.0006239925760123,0.0116856791507758,True,0.2166205683943282,0.0085
ENTPD4,-0.2165061036129045,0.0006282547883045,0.0117029163225674,True,0.2165061036129045,0.0015
NEURL1,0.2163485130159444,0.0006341668830247,0.0117505419277922,True,0.2163485130159444,0.0085
GUK1,0.2160679936924553,0.000644818147929,0.0118797519436306,True,0.2160679936924553,0.003
BIRC3,0.2159869816464477,0.0006479247918999,0.0118797519436306,True,0.2159869816464477,0.005
PPIL6,0.2158717107750139,0.000652369042324,0.0118989395115562,True,0.2158717107750139,0.027
IGSF22,0.2156302868170111,0.0006617685468613,0.0120078417155875,True,0.2156302868170111,0.0265
OSBPL5,-0.2153489614035119,0.0006728793777285,0.0120491774935482,True,0.2153489614035119,0.035
ARID5B,-0.215317926938126,0.000674115569667,0.0120491774935482,True,0.215317926938126,0.005
EPHA10,0.2150563507298725,0.0006846185843458,0.0120491774935482,True,0.2150563507298725,0.011
TSPAN4,0.2150454685147371,0.0006850587935619,0.0120491774935482,True,0.2150454685147371,0.0005
ARL15,0.215009194464286,0.0006865280467664,0.0120491774935482,True,0.215009194464286,0.0125
LSM3,0.2149850117639851,0.0006875091654621,0.0120491774935482,True,0.2149850117639851,0.0065
TLX2,-0.2149696960537947,0.0006881312103682,0.0120491774935482,True,0.2149696960537947,0.001
LINC02217,0.2146924010903457,0.0006994837966313,0.0120814179594227,True,0.2146924010903457,0.0085
NEBL-AS1,0.2146895797753106,0.0006996001864002,0.0120814179594227,True,0.2146895797753106,0.005
ACADL,0.214580354578952,0.0007041199074177,0.0120814179594227,True,0.214580354578952,0.004
WDR66,0.2145295709083204,0.0007062304977074,0.0120814179594227,True,0.2145295709083204,0.0035
RHOBTB2,-0.2144509771323428,0.0007095084076425,0.0120814179594227,True,0.2144509771323428,0.0125
SHANK1,0.2144231670269969,0.0007106716446719,0.0120814179594227,True,0.2144231670269969,0.001
ICAM5,0.2139415282460063,0.0007310989825187,0.0123686407573949,True,0.2139415282460063,0.018
EPB41L3,-0.2130709510351781,0.000769403183243,0.0127401700880248,True,0.2130709510351781,0.0155
PVALB,-0.2129488283986591,0.0007749221081623,0.0127401700880248,True,0.2129488283986591,0.0055
MYH7B,-0.2128706376676865,0.0007784748312697,0.0127401700880248,True,0.2128706376676865,0.0035
DDN,0.2128299301221803,0.0007803303870624,0.0127401700880248,True,0.2128299301221803,0.0165
DCUN1D2,-0.212792043891709,0.0007820610049893,0.0127401700880248,True,0.212792043891709,0.0025
PPTC7,-0.2127348115009972,0.000784682058121,0.0127401700880248,True,0.2127348115009972,0.014
SLC8A1,-0.2126767730202753,0.0007873483008662,0.0127401700880248,True,0.2126767730202753,0.006
KIRREL2,0.2126570238150296,0.0007882574679945,0.0127401700880248,True,0.2126570238150296,0.0605
MGST2,-0.212544171213626,0.0007934713127491,0.0127401700880248,True,0.212544171213626,0.053
