roi,num
ACCUMBENS_LEFT,-1
AMYGDALA_LEFT,-1
Auditory,-6
BRAIN_STEM,-1
CinguloOperc,-7
CinguloParietal,-4
Default,-9
DorsalAttn,-9
FrontoParietal,-4
PALLIDUM_RIGHT,-1
PUTAMEN_LEFT,-1
RetrosplenialTemporal,-3
Salience,-1
SMhand,-4
Smmouth,-2
VentralAttn,-1
Visual,-6
