,0
1,8.56403286774654e-05
2,9.428585816555368e-05
3,7.88436247764825e-05
4,7.85807533673317e-05
5,8.675284131522106e-05
6,7.064715854287085e-05
7,9.079242133288504e-05
8,8.022295869823974e-05
9,9.425350127439105e-05
10,9.405730044527444e-05
11,9.461901492987016e-05
12,0.00015072706964992742
13,9.332119961893909e-05
14,7.187498502200878e-05
15,0.00010140131981137598
16,8.401615582233761e-05
17,6.621249317694343e-05
18,0.00011890326624068355
19,6.841147480953504e-05
20,7.736687456474664e-05
21,9.034756960409926e-05
22,9.749440727755585e-05
23,7.838211279181127e-05
24,9.105150934364801e-05
25,7.089985359172034e-05
26,9.651910770917973e-05
27,9.074989413594777e-05
28,8.652024529201388e-05
29,8.592603121629037e-05
30,0.00010583468289065046
31,9.296486148524736e-05
32,8.990553632672376e-05
33,9.785072988268292e-05
34,0.00010276286633724062
35,9.496498907362027e-05
36,9.816168322010416e-05
37,0.00010245189625822081
38,0.0001222102751599778
39,8.840201314717936e-05
40,9.2239539669975e-05
41,0.00010247630898629931
42,7.867333449604996e-05
43,8.117564314127996e-05
44,0.00010271115428337741
45,0.00011042562675333196
46,9.995012210267718e-05
47,0.00011466996394678552
48,0.00010999557928368254
49,0.00010951482170239331
50,0.00010071167513550198
51,0.00010294504822124375
52,8.44921519774715e-05
53,8.69077758739089e-05
54,8.819678417737148e-05
55,0.0001035531855966335
56,8.746409643984572e-05
57,0.00013254263274674593
58,9.912764079092914e-05
59,9.328877284760863e-05
60,6.928977947133147e-05
61,9.001083756189191e-05
62,7.589406358630463e-05
63,8.234340077276745e-05
64,8.94537892096892e-05
65,0.0001027086438949401
66,0.00012861517377704874
67,0.00010085647024449137
68,0.00013182056642857
69,8.358391297513168e-05
70,7.929264199818431e-05
71,8.724348785207836e-05
72,0.00011622388880316436
73,8.512464270177082e-05
74,9.28032503389824e-05
75,8.540003634951948e-05
76,8.856443441471377e-05
77,9.016110227974231e-05
78,9.301481746612656e-05
79,0.00010800630261469803
80,7.846503434670151e-05
81,0.0001063158805123327
82,9.308908173362402e-05
83,8.999765569846003e-05
84,8.625411403232794e-05
85,7.320695782930039e-05
86,8.970804765461893e-05
87,9.662857119148629e-05
88,8.365619756128663e-05
89,0.00012025460581395128
90,8.30214465411659e-05
91,0.00012155969463014559
92,0.0001002031955976905
93,9.167874312199458e-05
94,8.581510134294844e-05
95,8.886274676418153e-05
96,8.106084364909554e-05
97,9.453516107618364e-05
98,9.4948079640368e-05
99,0.00011238549514325511
100,8.811981304035665e-05
101,0.0001050397270597646
102,9.955938059512059e-05
103,0.00010348642292115134
104,9.198824044599557e-05
105,8.701264135744922e-05
106,9.472370977950379e-05
107,7.224946223158116e-05
108,8.488531615754299e-05
109,8.241455046614254e-05
110,8.266057181759432e-05
111,0.00010393566420341094
112,0.00011480452459031541
113,8.267183087698245e-05
114,8.173194220102126e-05
115,7.79122374868584e-05
116,8.8942640295702e-05
117,7.598719460930997e-05
118,9.19077734751909e-05
119,7.32871487758679e-05
120,0.00011035847566247058
121,8.942494552268275e-05
122,7.764142328441992e-05
123,8.483995929937028e-05
124,8.373966802867135e-05
125,8.065276150537793e-05
126,6.720997008371126e-05
127,7.18362969980075e-05
128,7.106194667519039e-05
129,8.157490545244618e-05
130,7.872489965780584e-05
131,8.793737506670805e-05
132,9.297718375592961e-05
133,8.439283891936631e-05
134,8.239827339730369e-05
135,0.00010145268167649985
136,0.0001012443324739417
137,9.336577176066354e-05
138,8.890988356198246e-05
139,8.083031847592576e-05
140,0.00012229744410042042
141,0.00011132031517297788
142,9.648206301097113e-05
143,7.731668052783892e-05
144,7.619211478836525e-05
145,8.982484774472671e-05
146,6.403384458437806e-05
147,0.00010139457753481282
148,9.38845292676385e-05
149,0.00010485742661690706
150,7.687690995272676e-05
151,8.913122552205586e-05
152,7.969991142575057e-05
153,9.437212762937052e-05
154,9.479544097319083e-05
155,0.00010733418816023448
156,9.024486590907896e-05
157,7.336222558231697e-05
158,9.012961519526443e-05
159,7.533439958921414e-05
160,8.567665459732815e-05
161,6.894964732843285e-05
162,6.9032079310458e-05
163,0.00010812005733095358
164,8.754647412678643e-05
165,9.464893246147254e-05
166,8.379085335013312e-05
167,8.529128100736705e-05
168,9.389158239909272e-05
169,7.212572406628159e-05
170,7.358797916460631e-05
171,7.889484143087212e-05
172,0.00010074409737942903
173,0.00014551254406331896
174,0.00011033581421339653
175,8.830136800365276e-05
176,7.634025257897121e-05
177,7.570849666826827e-05
178,7.262645009462159e-05
179,6.219048181182648e-05
180,0.00011456432314909354
181,0.0001068801009062065
182,9.107133413614624e-05
183,7.920266579567812e-05
184,7.5108919238014e-05
185,8.808439915583053e-05
186,8.837326841666403e-05
187,8.230599237310407e-05
188,8.380537571004907e-05
189,0.00012283551079030346
190,9.248021997957521e-05
191,9.598634014468782e-05
192,9.550992275279819e-05
193,0.00010458594166249347
194,9.827712599761055e-05
195,8.971351879774847e-05
196,9.716098011306284e-05
197,9.013205740296106e-05
198,9.734868919016081e-05
199,8.064628345073264e-05
200,8.784976436601855e-05
201,9.717232946405871e-05
202,8.275934177753703e-05
203,0.00011123149078855958
204,9.235028343538178e-05
205,9.520132683211599e-05
206,0.00011113748471021025
207,0.00010802056802378382
208,0.0001049585332085957
209,9.07707135751432e-05
210,9.517441895831684e-05
211,7.533035394324183e-05
212,9.436104210298245e-05
213,0.00010294633008656386
214,0.00010102874220833611
215,0.00011004093506234297
216,9.881116738777013e-05
217,9.707729755153332e-05
218,7.849937043111434e-05
219,0.00010671200299874688
220,7.493252457325326e-05
221,7.973357209008158e-05
222,9.025039594132427e-05
223,7.52994776209738e-05
224,6.891405320942242e-05
225,6.88403036920824e-05
226,0.00010298410381544073
227,0.00014716881703688605
228,8.141179012914088e-05
229,8.748473033472875e-05
230,8.70654806709262e-05
231,8.88012774521541e-05
