prediction,true
0.15703822,0.348
0.01621024,1.37
0.4232472,-0.175
0.02388013,0.804
-0.04616241,-0.429
-0.41950262,-0.07
-0.11596604,0.369
-0.32548478,0.962
0.07693051,-0.471
-0.03399126,-0.473
0.0247215,-0.869
0.44693784,0.072
0.10489501,-1.044
0.09092764,-0.417
0.13559235,-0.616
0.45229374,-0.473
0.22921641,0.365
-0.21953863,-0.473
-0.13301728,1.168
0.2374528,0.014
0.23127319,0.398
0.46671558,1.164
0.02110345,0.019
-0.00329944,0.61
0.30395715,-0.371
-0.05938974,2.174
-0.24096323,0.554
0.68822126,0.898
0.08884643,1.113
0.00618402,0.966
0.47699074,-0.535
0.16276513,0.337
-0.0623193,0.48
-0.01100033,-0.27
0.43189368,-0.02
0.15146336,0.01
0.45871979,-0.722
-0.10660671,-0.228
0.1396089,0.315
0.22023353,1.573
0.31365251,0.905
0.20680081,-0.549
-0.04970196,0.576
-0.01789501,-0.119
0.43852912,0.463
-0.29482487,-0.001
0.09009165,0.698
0.83118451,0.075
0.51655434,-0.268
0.18713968,0.931
-0.12058342,-0.473
-0.15639934,-1.245
0.32426386,1.495
-0.18397963,0.184
0.41506929,-0.473
0.02706132,0.254
0.26522397,0.574
0.36981555,-0.55
0.3587271,0.225
0.54525114,-0.155
0.07151743,0.049
0.28411489,-0.862
-0.14398623,0.619
-0.23866633,0.39
-0.15896627,-1.136
0.0520792,-0.24
0.86462683,-0.473
0.29653321,-0.003
0.17208423,0.8
-0.23380577,-0.782
0.30184206,1.215
0.02868942,-0.603
-0.33629684,0.256
0.1511263,1.129
-0.22209718,1.237
0.30292073,0.283
-0.22625263,1.173
0.21172845,-0.878
-0.022657,1.508
0.09750826,-0.356
-0.10110874,-0.202
-0.02250956,0.077
-0.14997425,-0.555
-0.09702935,1
0.06686984,-1.12
0.05866942,0.144
-0.18299131,0.187
0.20527674,0.05
-0.1836363,-0.473
0.31031032,0.303
0.38501762,0.072
0.21886762,1.927
-0.61590091,-0.424
0.24737334,-0.894
-0.02817767,1.111
0.32179242,2.152
0.17078842,-0.473
-0.07275706,-0.278
-0.26389002,0.141
0.07409883,-0.673
-0.0385161,-0.333
-0.20056739,1.13
0.21084868,0.711
0.12680918,0.683
0.02315103,0.765
-0.21690087,-0.879
0.22972885,0.34
-0.30420685,0.909
0.33180358,1.416
-0.09903465,-0.817
0.01121321,-0.252
0.09364351,0.253
-0.09112965,1.485
-0.21081406,-0.473
-0.0239931,-0.092
0.12879511,-0.305
-0.02471931,1.01
-0.07924304,-0.888
-0.55586308,-0.271
0.00565837,1.294
-0.43846212,-0.445
-0.05383705,0.472
0.04209784,0.874
-0.72333108,-0.473
0.17192398,0.067
0.18589714,-0.582
-0.0337787,-0.963
0.09134872,-0.535
-0.15064109,-0.473
0.2405527,0.205
0.38715646,0.846
0.04487854,-0.082
-0.21758873,0.15
0.16263274,-0.678
-0.2561806,0.866
0.60736004,-0.521
0.2848606,0.247
0.3534257,-0.778
0.1152844,-1.203
-0.26805454,-0.473
-0.20325376,-0.773
0.4227358,0.324
0.06467746,1.165
-0.13735438,-0.732
0.32209641,-0.746
-0.27206809,0.728
0.07262913,-0.473
-0.10397651,-0.424
0.37953984,1.049
-0.19154249,1.403
0.13695057,1.66
0.31050592,0.66
-0.04457585,-0.632
0.21318934,0.227
-0.1134367,-0.473
0.59149107,-0.844
-0.0206908,0.674
0.35994071,2.08
-0.21677619,-0.473
-0.22950571,-0.473
0.04048765,1.412
0.19895545,0.601
-0.51252987,0.054
0.05874786,-0.333
0.08477747,0.022
0.09911281,-0.347
0.1402174,0.075
0.00616539,-0.473
0.00599297,0.048
-0.22977911,0.812
-0.50209168,-0.737
-0.14777807,1.145
-0.11650729,0.679
0.36148305,-0.301
-0.03870523,-0.473
0.38968926,-0.132
-0.1038435,-0.725
-0.39429412,-1.004
0.04439869,0.718
0.19550963,0.784
-0.6485967,-0.473
0.25321561,0.172
-0.03232966,0.822
-0.0071649,-0.166
-0.21129483,0.778
0.31115385,0.984
0.06744223,0.023
-0.21142073,0.203
-0.10817342,-0.884
0.10437968,-0.473
-0.04991513,-0.473
0.63993931,-0.097
0.17139155,0.616
0.07255943,0.727
-0.24337818,0.367
-0.5193236,1.411
0.21525163,0.072
0.46074053,0.347
-0.19498143,0.856
-0.08924935,-0.473
-0.08889733,-0.079
0.20021786,-0.678
-0.47125007,0.498
0.22067299,-0.518
0.1696868,0.441
-0.13594708,0.061
