prediction,true
0.27862442,0.301
0.24665172,-0.397
0.50310402,-0.827
-0.30105968,0.054
0.01025395,0.514
-0.33737498,-0.313
-0.11373397,0.679
-0.38618336,0.601
0.00303473,-0.196
0.31155629,0.609
-0.18394774,-0.786
-0.19709101,0.892
0.19630973,1.552
-0.03019631,-0.208
-0.36807585,-0.167
-0.0796936,-0.247
-0.19446022,0.152
0.01523578,0.11
-0.26341694,-1.005
0.522942,-0.208
0.03627558,0.575
0.09329821,-0.208
0.34349482,0.554
-0.1317876,-0.563
-0.44398318,-0.338
0.24388711,-0.912
0.10615495,0.006
0.09990037,-0.827
-0.36981697,-0.055
0.02828633,-1.541
0.09143702,-0.155
0.28912229,0.257
0.01558475,0.249
0.14642332,-0.654
-0.0953314,-0.286
-0.46922526,-0.881
-0.37464633,-0.413
-0.10075651,-0.244
0.04551097,-1.01
-0.13783519,1.123
-0.00800928,-0.553
0.18402631,-0.242
-0.27395639,0.148
-0.04251739,0.187
-0.2662943,-0.551
-0.14307345,0.113
-0.06401897,-0.209
-0.21244736,-0.609
0.17816334,-0.585
-0.0959645,-0.21
0.06350226,-0.254
0.11297224,-0.249
-0.03005896,0.545
-0.31527733,-0.298
0.30824484,-0.208
0.12381181,0.177
-0.21003633,-0.682
0.49331461,0.502
-0.06011428,-0.208
-0.16614655,-0.746
0.52942929,0.922
-0.15639566,1.873
-0.13184742,0.822
-0.2560321,0.132
0.04555205,-0.667
-0.26674352,1.304
-0.04052518,0.323
0.67125389,-0.287
0.45126299,0.189
0.4541917,0.033
-0.0939849,-0.208
-0.29364198,-0.264
-0.07067827,0.442
0.43354771,1.348
-0.08127152,-0.261
0.38116593,-0.385
0.01853846,0.42
-0.20378399,0.335
-0.08280096,-1.102
0.21531291,0
0.58529875,0.597
0.15053067,0.364
0.14361265,0.12
0.03150979,1.711
0.24046337,-0.463
-0.06706292,0.067
0.49131504,-0.026
0.1096752,0.819
0.0462777,-0.546
0.57763945,-0.357
-0.32207646,-1.905
-0.06953524,-0.518
0.05858574,-0.208
0.06396286,0.197
-0.41467078,-0.247
-0.02842488,-0.004
0.20064619,0.415
-0.09315047,1.1
0.05732737,0.176
0.22315629,-0.018
-0.08987278,-0.208
0.22668468,0.607
0.14527082,-0.945
0.11101094,0.435
0.18957454,-0.576
0.1309547,-0.15
-0.12853313,-0.04
0.0907556,0.322
-0.1203174,-0.62
-0.20502181,-0.83
-0.26112966,-0.572
-0.19526316,0.001
0.46335429,0.843
0.00970597,0.352
-0.16303173,-0.683
-0.03852904,-0.326
0.00715534,-0.81
-0.05776396,-0.208
-0.0030392,0.467
0.24161468,0.728
-0.10971602,-1.197
-0.01588225,0.725
-0.26673737,0.556
-0.29139179,-0.308
0.49852133,0.353
-0.0944551,1.822
0.12376293,-0.571
0.41008416,-0.208
-0.14457092,0.045
-0.09984987,0.035
-0.06435426,0.878
-0.35131924,-0.286
-0.00655338,-0.208
-0.36170006,1.008
0.16841383,-1.519
0.24456738,0.713
0.37228713,0.907
-0.0621694,-0.178
0.20150495,-0.206
-0.23555567,0.948
0.21749476,0.61
0.16074273,0.429
-0.28019856,1.248
0.14013612,-0.208
0.21050568,1.276
0.03752136,0.797
-0.47269339,0.764
-0.01945403,0.552
0.13069317,0.249
-0.17085872,0.577
-0.12184268,-0.208
-0.17531717,0.969
-0.06480002,-1.07
-0.04415031,-1.088
-0.00077118,0.307
0.03131991,0.531
0.3360998,0.381
-0.22300283,-0.439
-0.03089766,-0.208
-0.38469095,0.799
0.24631059,0.353
0.18053406,-1.632
0.04837187,-0.208
0.14275546,-0.208
0.26680237,0.216
0.29604399,-0.46
0.26541198,0.159
0.32099055,-0.1
0.15087838,-0.207
0.2790189,1.731
-0.12798351,-0.249
