prediction,true
0.27402328,-1.148
-0.13646594,0.622
-0.42460478,-0.475
0.23905532,0.884
-0.18964139,-1.053
-0.07170605,-0.91
-0.09442628,-0.108
0.45863526,0.097
-0.67300164,0.792
-0.26586126,-0.544
-0.02881475,-0.279
-0.17625523,-0.486
-0.16139084,0.204
0.25603411,-0.819
-0.52764772,0.729
0.32087104,-0.392
0.10637711,-0.583
0.4133955,1.124
0.38352103,-1.253
0.00910926,1.381
0.37059963,-0.892
0.18641256,0.502
0.13457919,1.121
-0.95280478,0.842
0.5536794,1.012
-0.04263168,0.9
-0.04912425,-0.319
-0.4966333,1.277
-0.19748422,0.754
0.04435687,0.55
0.19269482,0.494
-0.09669525,0.136
0.50612609,0.388
-0.32119333,1.855
0.45457049,-0.123
-0.25688595,-0.716
0.52802613,0.713
0.03944703,0.588
-0.37601038,-0.258
0.07172953,-0.852
0.15217732,-1.186
0.10149242,-0.298
0.13649307,-0.304
0.04000626,1.072
0.19172946,0.046
0.02504429,-1.046
-0.10668585,1.369
-0.18136153,-1.253
-0.43078429,-0.406
-0.50582001,-1.253
-0.19629722,0.671
-0.09805693,0.486
0.14574254,-1.253
-0.20613189,1.595
0.32587782,0.709
0.17304059,-0.749
0.28338475,-1.253
-0.01622421,-0.111
-0.3783354,0.169
-0.66253121,-1.253
0.20334791,-0.125
-0.52514962,-0.965
-0.49645298,-0.71
-0.12228839,-0.803
0.06986553,-0.535
-0.48386213,-0.332
-0.34953994,0.284
0.31764881,-0.195
-0.03228801,-0.356
0.23958865,0.393
-0.19294647,-0.47
-0.19547798,-1.253
-0.27276403,-0.861
0.15952807,1.277
0.41153094,-0.981
0.31238724,0.264
0.25106847,-0.368
-0.03061265,-1.253
0.2953326,-0.893
-0.03717511,0.159
-0.09901643,0.395
0.0443767,0.335
0.13225683,0.006
-0.25723297,0.041
-0.41435711,-0.013
-0.17598559,-0.552
0.15318512,-0.12
0.52834338,0.963
-0.02689111,-0.427
0.01626517,-1.253
0.09648315,0.503
-0.37106277,-0.745
-0.37095929,-0.358
0.12969907,0.831
0.45285661,1.728
-0.19631858,-0.141
-0.12231596,-0.448
0.19350937,-0.016
0.26724065,0.118
-0.48578286,-0.17
-0.38241332,-0.427
0.63593486,-0.315
-0.13737831,0.254
0.01332225,0.086
0.01738029,0.248
-0.10110486,0.633
0.25313443,-0.487
-0.33068806,1.622
0.09218597,-0.848
0.19688757,0.428
-0.19676055,0.21
0.25372273,-1.253
-0.10360255,1.017
0.0382535,-1.143
0.25994684,-0.874
-0.19865393,0.457
0.18820352,-1.148
0.35675177,-0.628
0.04949099,-0.539
-0.05060215,-1.253
0.41218605,-0.121
0.03039218,-0.39
0.19374448,0.853
0.14573601,0.587
0.10754901,1.58
-0.0048462,0
0.07243057,-0.991
-0.05693521,-0.626
-0.06190708,0.836
0.11962283,-0.402
0.49662329,-0.749
0.16152526,-0.401
0.03234953,0.41
-0.13587042,-0.432
0.01163307,1.144
0.44008058,0.2
-0.35031927,-0.325
0.02326699,0.08
0.16788004,-0.285
-0.23450797,-1.186
0.22664532,-1.253
-0.40079977,1.232
-0.3246486,-0.054
-0.25433716,1.657
-0.63942532,-0.542
-0.13637764,-0.521
-0.31485359,0.42
0.16316099,-0.526
-0.22028838,0.365
-0.10126206,-1.253
0.4981032,-0.176
-0.04376884,0.161
-0.27805187,-0.459
-0.36423452,-0.592
0.19560118,0.185
-0.43316832,-0.643
0.07247078,-0.669
-0.39576172,0.212
0.76625291,0.571
-0.29190137,0.522
0.11394787,-0.793
0.327861,-0.31
0.08743623,1.464
0.17822152,1.422
-0.03711714,0.289
0.32246848,0.849
-0.18843963,-0.898
0.3079553,-0.951
-0.01447806,-0.028
-0.23810889,-0.363
-0.3113392,-0.908
-0.15356995,0.299
-0.26579216,-0.345
-0.06108759,-1.253
-0.50418209,-0.907
-0.25297225,-0.154
0.44321423,1.317
0.4945053,-0.204
0.47888883,-0.702
0.14060748,0.351
0.41881317,0.681
-0.22528282,-0.874
-0.4124583,-1.253
-0.30641046,-0.038
-0.18395237,-0.373
0.11921988,-1.253
-0.02641854,0.972
0.01984153,-0.033
-0.26207052,0.179
0.38955104,-0.292
0.46405194,0.09
0.00353449,-0.035
0.37958114,-0.371
-0.21078233,-0.324
0.12871873,0.21
0.04162772,-0.719
0.37476133,0.87
-0.08284582,-0.253
0.25783478,-0.064
-0.15119314,-1.115
0.59555606,0.497
-0.6418498,-0.596
0.35964589,1.097
0.16953204,0.151
0.6334671,0.228
0.28468128,0.915
0.30970708,0.111
0.00770578,-0.227
-0.23235816,0.526
0.41701203,-0.011
-0.01383034,-0.694
-0.206614,0.329
-0.04536959,0.225
0.21631965,1.794
0.47267155,0.019
0.50190941,-0.206
-0.22268321,0.931
0.46899266,-0.615
-0.17351783,0.212
0.4246783,0.024
0.05689729,0.617
0.4076333,1.203
0.22130521,-0.44
-0.22654045,0.145
0.42356923,2.605
0.03235304,-0.162
0.30941473,-0.275
-0.01332855,0.41
-0.1528843,0.425
0.18780708,-0.332
0.44756671,-0.35
0.14761797,1.041
0.19400278,0.781
0.03540184,-0.63
0.01914756,-1.253
-0.51747716,0.986
-0.53410255,-0.232
0.07036837,-0.542
0.26693622,1.035
-0.34284455,-0.797
-0.11446288,-0.1
0.08900468,0.405
-0.10705164,-0.882
-0.08204565,0.625
0.31679295,0.691
0.39519116,-0.657
0.11185333,0.844
0.22015977,0.537
0.06840399,-0.122
-0.32166697,-0.773
0.05534276,-1.253
-0.2901679,1.489
0.20766677,0.387
0.26697718,0.625
0.2024424,0.886
0.1110703,0.538
0.38981236,-0.561
0.12120508,-0.965
-0.0971224,1.263
-0.22922086,-0.764
0.25687885,-1.253
-0.19184109,-0.87
0.21335777,-0.462
-0.3717991,-0.83
-0.22838341,-0.072
0.09909228,0.292
0.21534554,0.389
0.68027541,-1.253
-0.08262267,0.643
0.07444636,0.306
-0.32069743,-0.42
0.23572892,0.084
0.84407644,1.099
-0.25316296,-0.749
-0.28497445,-1.143
-0.06662821,0.004
0.1864726,0.108
0.34846428,1.299
0.4163017,0.578
-0.69066877,0.345
0.14645584,-0.31
-0.4340269,-0.263
0.26892548,1.272
0.14958908,-0.851
0.30238675,0.623
-0.09479781,1.506
-0.18471663,1.154
-0.02508597,0.612
0.15933965,-1.253
1.06938131,1.911
-0.10603456,-0.888
0.06135688,-0.041
-0.01132189,1.471
-0.87763986,0.595
0.06804367,-0.588
0.17086495,-0.168
-0.2048541,1.296
-0.24904492,-0.539
-0.20646119,-1.253
0.29497456,0.404
-0.10750423,0.305
0.22761854,-0.767
0.36825147,-0.951
-0.17781163,-0.735
-0.65981041,1.109
0.07537279,0.873
0.6243335,-0.52
-0.08019225,-1.148
0.02321813,1.293
-0.46131717,-0.981
0.14836273,1.205
-0.35230977,-0.907
0.02304637,-0.404
-0.09936844,1.027
-0.32151755,-0.65
0.23927294,-0.248
-0.04707783,0.258
0.18661549,-0.46
-0.11717935,-1.148
-0.25071436,0.088
-0.08383986,-0.848
0.19731496,0.215
-0.04709209,-1.105
0.48192638,1.113
-0.26435849,-1.253
0.02283455,-1.253
0.01491843,1.531
-0.34296404,-1.186
0.22826459,0.882
-0.01103175,-0.514
-0.06393828,0.627
-0.05415566,-0.469
-0.03777573,0.65
0.29698743,-0.594
-0.11876064,-1.253
-0.00466709,0.462
-0.29206674,-1.253
0.02797908,0.037
-0.45218005,1.399
0.33076294,-0.759
0.01911022,-0.385
0.1908956,-0.07
-0.3248549,-0.704
-0.05996479,0.473
-0.3977283,-0.047
-0.32497373,-0.53
-0.17401816,-0.183
-0.1951543,0.752
0.15976776,-0.94
-0.84676163,0.444
0.61844938,0.773
0.36131397,0.982
0.41793451,0.451
0.05551381,-0.184
-0.27035454,-0.621
0.56545997,-0.408
-0.509347,0.682
0.20530216,0.249
-0.29205146,-1.253
0.4884898,-0.574
0.09228139,-0.592
-0.00018459,-0.698
-0.16767595,-0.049
-0.03267352,0.202
-0.00355011,0.418
-0.23469746,1.966
0.65558848,0.668
-0.14130125,1.322
0.23556524,-1.086
-0.3477446,0.845
0.53112299,1.624
0.15134776,0.154
0.02503506,1.436
0.19605065,-0.084
-0.10131787,0.077
0.17774902,0.337
-0.36082766,0.667
-0.20097311,0.205
-0.09486241,-0.432
-0.06065363,0.973
0.23234893,0.786
-0.36019268,0.09
-0.45938284,-0.749
-0.29099896,0.626
0.01922342,0.201
-0.29401257,0.093
-0.28509027,-0.127
-0.09981398,-0.716
0.33868936,-0.943
-0.466392,1.573
-0.64341999,1.214
-0.62926311,-0.26
0.67203359,0.069
0.41206452,-0.172
0.27508256,0.523
-0.11835412,0.622
0.180769,-0.874
-0.15503778,-0.754
-0.1847367,0.657
-0.31222965,0.676
-0.26988095,0.567
-0.45708149,0.267
0.17943147,0.897
-0.09357693,-0.7
0.28585408,-1.143
0.06094585,0.963
-0.47290754,-0.559
0.10007512,-0.024
-0.41551718,0.655
-0.02643756,-0.485
0.04013674,-0.72
-0.74192716,-0.77
-0.27121069,-1.186
0.01548154,1.285
0.22081826,-1.086
0.09924647,1.919
0.41271728,-0.258
0.0157514,0.989
-0.41684283,0.114
-0.4310285,-1.253
-0.27933683,0.223
-0.31994561,-0.166
0.31697336,-1.253
0.23247921,0.449
-0.6236361,-0.197
0.02528775,0.798
-0.3329802,1.72
-0.10789853,-0.184
0.04560873,0.697
0.07962867,-0.739
0.10191436,1.88
0.29570624,-0.781
0.19243851,0.816
0.19192809,-1.253
-0.05305373,-0.285
-0.0840825,-0.089
-0.1903926,0.342
-0.2049876,-0.565
0.40501679,0.28
0.05480282,-0.265
0.0526419,-0.718
0.03246305,1.17
0.07688524,0.703
0.74408438,1.108
0.14819909,0.7
0.4153518,0.596
0.75552287,0.469
0.15944792,0.805
0.24575498,0.488
0.03637162,-0.936
0.07315682,-0.403
-0.10672873,-0.65
0.25422971,-0.631
0.33693988,-0.081
0.15894393,-0.248
0.00024333,-0.656
-0.23277958,-0.532
-0.76741621,-1.186
-0.2218267,-0.874
-0.03848666,-0.981
-0.23572997,-0.412
0.1942706,-0.661
0.265997,1.161
0.02975855,-0.578
0.29891722,1.157
-0.2096836,-0.787
-0.41557992,-0.267
0.26722667,0.32
-0.29294469,-0.039
0.29577943,-1.253
0.22363904,-0.696
0.60593607,1.446
0.1579221,0.678
0.05294155,1.904
0.05523246,0.666
0.17582092,-0.136
0.34400655,0.105
-0.13181344,1.146
0.13144494,0.292
-0.2866336,-0.314
-0.01564775,0.621
0.3100406,-0.965
-0.10444665,-0.385
-0.42926497,-0.2
-0.50981212,0.855
-0.20627595,0.368
-0.43723329,-1.253
-0.31916244,0.517
0.0013242,1.486
0.26017591,0.849
-0.28555559,0.601
0.04370726,-0.21
0.25934414,-1.253
-0.20628807,-0.36
0.19082421,0.185
0.06550111,-1.086
0.40192104,1.345
0.01746312,-0.679
-0.10726141,1.029
0.38910315,-0.11
-0.76202821,-0.279
-0.21688464,-0.192
0.31471496,0.744
-0.34336265,-0.348
-0.1720058,-1.253
0.11575338,-1.137
0.12968933,0.826
-0.158038,0.671
0.01016985,-1.253
0.22710707,1.127
-0.14704831,-0.104
-0.46528873,-0.927
0.07380357,0.764
0.14296583,0.91
-0.50548056,-0.32
-0.71671624,-0.565
-0.19439828,0.421
-0.11256843,0.525
0.14363013,-0.329
-0.01485597,1.24
-0.2471867,0.227
0.15616214,-1.036
0.24218127,-0.532
-0.89807826,-0.481
0.37710544,1.499
-0.29704706,-0.116
-0.00680647,-0.588
-0.02625308,-0.46
-0.23449668,-1.253
0.11469031,-1.253
0.5438495,-0.384
0.27182381,1.69
0.17267008,0.842
-0.44055834,-0.469
0.25637741,0.306
-0.53746291,0.889
-0.01205109,0.571
-0.14900138,0.056
0.0310119,-0.568
-0.29206594,-0.981
0.02495284,1.551
0.30959804,-0.607
-0.43960975,0.54
-0.55990798,-1.253
-0.06788013,0.371
-0.36282013,-0.582
0.09734992,-0.319
-0.05880691,-0.91
-0.37745628,-1.253
-0.26560105,-1.105
0.15617619,0.423
-0.26954074,-0.875
-0.18317009,-0.104
-0.29612177,-0.222
-0.1567023,-1.086
-0.14705652,-0.663
0.09042047,-0.107
-0.47449191,0.523
0.74698983,1.361
-0.51906529,-0.907
-0.09745406,-1.253
0.2350931,-1.253
-0.23975316,1
-0.03563173,-0.414
0.0827413,2.729
-0.29432215,-0.654
-0.35910021,-0.641
-0.2082574,0.372
-0.05902749,-0.469
0.37536192,0.564
0.69485621,-0.94
0.16981034,-0.806
-0.42725923,-0.11
-0.00479641,-1.086
-0.24282904,0.182
-0.58549522,0.931
0.30652918,-0.108
0.35708044,1.018
-0.49226669,-1.253
0.57370002,1.135
0.45575535,2.008
-0.86863873,-0.229
0.11671901,-0.645
0.52758487,-0.038
-0.20437679,-0.94
-0.19591233,-0.574
-0.02308788,0.701
0.00321264,-0.796
-0.08256178,-1.253
-0.26759173,-0.55
-0.28103145,-0.552
0.00327085,0.724
-0.35197787,-0.471
0.27763932,-0.898
-0.01830133,0.609
-0.28747888,-0.895
0.17169842,-0.79
-0.19183575,-0.371
0.33440407,0.641
-0.12711708,0.836
0.0772896,-0.131
-0.10402487,-0.665
0.07031965,-1.143
0.10031346,-0.96
-0.34257483,-0.796
0.2260588,-0.907
0.19479934,-0.284
0.57767388,1.056
-0.54694099,-1.143
-0.37613523,2.159
0.03196812,-0.096
0.02186502,1.581
0.39377071,0.137
0.16676343,-1.253
0.1413266,-0.854
0.24317626,-0.421
0.2878317,-0.94
-0.29171253,1.432
0.17988275,-0.803
-0.27289181,-0.873
0.80205306,0.016
-0.01789591,2.018
-0.08508145,0.318
0.05503722,-0.407
0.51460641,1.851
0.11980996,1.013
-0.12503453,0.858
0.21095704,-1.253
-0.03434164,-0.106
-0.09703919,0.21
0.06697938,1.184
0.02143641,-1.253
-0.15563062,1.212
-0.05024007,0.072
-0.29710513,-0.184
0.24439826,0.365
-0.35872878,-0.951
0.10200047,-1.046
0.21556875,0.753
-0.43257588,-0.78
-0.426675,0
-0.09903859,-1.086
0.3892707,0.712
0.64218303,0.95
-0.26349085,0.307
0.14311675,-0.216
0.48733341,1.046
0.31382897,0.308
-0.26287661,-1.105
-0.16921629,-1.143
-0.16877838,-0.041
0.21381629,1.521
-0.01990849,-0.744
0.03104034,-0.151
-0.0655342,0.786
-0.08641794,1.1
-0.07215342,-0.682
-0.09249576,0.38
-0.00524369,1.635
-0.2099275,-1.253
-0.19263675,0.911
-0.10832848,0.666
-0.04600622,-0.424
-0.04947974,-1.253
0.03010008,-0.067
-0.08993769,1.746
0.57835617,0.372
0.44075258,0.86
0.27915708,1.824
-0.13865846,-0.419
-0.1066088,-0.648
-0.1919949,-1.253
-0.0784844,-0.437
0.64853589,-1.253
-0.24943013,-0.769
-0.49813108,-0.445
0.31096319,0.249
-0.43663927,-0.244
-0.10113494,-1.253
-0.73273505,-0.71
0.13471856,0.819
0.33064486,1.929
0.14268754,-0.625
0.35610105,0.266
0.32140256,0.158
-0.23795433,1.102
0.22158453,0.737
-0.38358685,0.424
0.03290417,-1.253
-0.33615805,0.511
0.35277355,0.298
0.00076512,-0.789
0.07683365,-0.399
-0.59916274,0.136
-0.16694097,-0.884
0.16470508,-1.253
0.13565773,-0.96
0.15356541,-0.653
0.32467028,0.502
-0.07920372,0.056
0.17227444,-0.175
0.23414098,0.058
0.50405669,-0.632
0.46552372,-0.352
0.04108034,-0.18
-0.61914533,0.017
-0.02060858,2.357
-0.04674164,-0.081
0.1126502,-0.097
0.42897158,1.61
-0.09852683,1.125
-0.08133741,-0.631
-0.04366582,0.947
-0.1110794,0.917
-0.02078225,-0.27
-0.07629346,-0.089
-0.29577733,-0.242
-0.1199787,-0.617
0.09023924,0.371
0.11542063,0.71
0.40374123,0.51
-0.11654968,-1.143
-0.16092281,-0.951
-0.25441484,0.699
