prediction,true
0.28109185,0.124
0.26439133,-0.544
-0.50787819,-0.459
0.12629984,0.247
-0.01516726,-0.324
0.04356016,-0.367
-0.18958346,-1.079
-0.32131227,-0.483
0.06702655,-0.375
-0.02206551,0.732
0.06737407,0.619
0.11686118,-0.328
0.17229843,1.036
-0.02674801,-0.2
-0.37449548,-0.189
0.08128867,0.917
0.02416726,-0.225
0.18240149,0.054
-0.15456095,-0.762
0.21554388,0.157
-0.46902658,-0.189
-0.06431454,0.124
0.14692232,-0.189
0.43485852,-0.769
-0.15412525,-0.677
-0.05703752,-0.31
-0.43989444,0.659
-0.3412592,-0.106
0.16805445,-0.323
-0.06664728,0.139
-0.08459107,-0.255
0.29935385,-0.258
-0.42689102,-0.814
-0.04457613,-0.754
0.49204309,-0.779
-0.58406706,0.465
-0.08960201,0.381
0.11939103,-0.357
0.16981584,2.071
-0.22678595,-1.592
-0.0928225,-0.657
-0.2841206,-0.098
0.0581355,-1.012
-0.05821355,0.233
-0.12466532,-0.252
-0.26754223,0.398
-0.4098303,1.08
-0.48176012,-0.272
-0.13040674,-0.478
-0.05407008,-0.495
0.20200127,1.71
-0.34529837,-1.142
-0.43528341,-0.227
-0.29872103,-1.067
-0.29752218,-0.272
0.40127523,-0.189
0.03915096,0.88
-0.05312098,0.714
0.07485262,-0.375
-0.35518164,-0.189
0.30651488,0.086
-0.47882492,-1.347
0.11319568,0.421
-0.07517904,-0.239
0.04644342,0.377
-0.44524537,0.55
-0.23242413,-0.04
-0.3059351,0.074
-0.04513617,-0.263
0.40822358,0.584
-0.3992207,0.521
-0.32610805,-0.189
-0.55944668,-0.241
0.13835286,-0.671
-0.18197954,0.374
0.0915102,-0.238
-0.22440391,0.172
0.12079049,0.856
0.06443555,0.42
0.14723883,-0.223
-0.27819424,-0.672
-0.17258169,-0.987
0.5609224,-0.403
-0.35204022,-0.64
-0.2031219,-0.231
-0.13211998,-0.448
0.05308341,-0.012
0.17326853,-0.858
-0.30335673,-0.833
0.4835893,1.547
-0.26412954,-0.328
0.38012214,0.305
0.16740186,-0.014
0.12945671,-0.189
0.30079469,0.497
-0.41283291,-0.225
-0.33789889,0.235
0.54076421,-0.435
-0.49056517,-0.539
0.20143184,0.029
-0.26867924,1.591
-0.30215162,-0.189
0.17510651,-0.388
0.08905551,1.568
0.22907775,-0.12
0.19444083,-0.274
0.20667711,-0.442
-0.18866728,-0.506
0.10968591,-0.392
-0.05116025,1.407
-0.13626071,-0.173
0.07496764,0.307
-0.00741476,-0.373
-0.16319247,0.68
-0.0102987,0.866
0.00646013,0.055
-0.44397463,-0.299
0.13967537,-0.746
0.19074998,-0.189
0.16866449,-0.05
0.26161868,-0.284
0.41296196,0.868
0.01198444,0.891
0.6203333,0.451
0.08945395,-0.889
0.337757,0.555
0.07756534,0.839
-0.09237469,1.033
0.01196115,-0.189
0.23099563,1.51
-0.32567159,-0.324
0.37060839,0.739
-0.12734218,0.465
-0.00697117,-0.189
-0.1635649,0.375
0.22817495,1.765
-0.63057313,-0.12
-0.12702347,-0.6
-0.21639176,-0.464
-0.13608012,-0.496
0.03964561,0.115
-0.33757863,-0.532
-0.44696186,-1.071
0.1841058,1.185
0.00643039,-0.189
0.05299598,0.96
-0.33136296,-0.298
0.06114846,-0.293
0.38124922,0.146
-0.85268809,0.92
0.12126483,-0.778
-0.29102429,-0.189
0.00330877,-0.632
-0.71694407,-0.748
-0.12645249,-1.452
0.32455118,0.852
-0.37703101,-0.518
-0.29682859,0.724
-0.38475096,-0.405
0.11449587,-0.189
-0.59497654,-0.723
0.17700085,2.363
-0.06429196,-0.097
-0.0747121,-0.189
0.22328871,-0.189
-0.13270286,0.836
-0.08539749,-0.025
0.2933772,-0.388
-0.32420024,-0.999
0.17661702,0.425
-0.07390599,0.199
-0.13628632,-0.227
0.3490965,-0.189
-0.12478346,-0.211
-0.35710443,-1.041
0.23926834,-0.452
0.0133066,0.252
-0.12989879,-0.949
-0.32146081,-0.813
-0.34978268,-0.189
-0.5103005,-0.432
-0.06564679,-0.136
-0.0414804,0.848
-0.17421113,-0.165
0.16718183,-0.591
0.0999023,-0.189
-0.00050069,0.6
0.34135617,0.177
-0.18363326,-0.43
-0.2055237,0.362
-0.21256001,-0.421
-0.05898684,-0.51
0.2750322,-0.773
0.0182126,1.045
-0.04898592,-0.189
-0.12545352,-0.189
-1.0636989,0.014
-0.04556366,1.144
-0.04980076,-0.23
0.01855135,-0.243
0.38527007,1.058
-0.21188106,0.401
0.05996197,-1.437
0.25103719,-0.554
0.28163982,-0.189
-0.24855728,0.725
-0.19717496,-0.464
0.15372945,0.162
-0.05449698,-0.263
-0.54237873,-0.211
0.30059646,0.365
-0.04758588,-1.175
0.00316467,0.978
-0.1062382,0.324
0.53420446,0.385
0.19126413,0.038
0.10902348,-0.455
-0.34980585,-1.444
-0.44947991,-0.174
0.05414016,1.318
-0.19975879,-0.371
0.16373486,-0.129
0.03705601,0.585
0.0170847,0.517
-0.48330666,-0.493
-0.11673446,0.52
-0.2362261,-0.155
0.22864107,-0.848
0.38441035,2.045
-0.07457749,-0.266
-0.12497662,-0.189
0.00593575,0.886
-0.12398797,-0.685
-0.02919952,0.172
0.11672373,-0.953
0.2002529,-0.713
0.08575646,-0.836
-0.21206981,-0.341
-0.15229807,-0.118
0.10906446,0.93
-0.11354978,0.585
-0.34330242,-0.713
-0.23058398,-1.617
0.21193404,-0.189
-0.07621456,0.077
0.01506978,0.319
-0.14290982,0.63
-1.16254029,-0.472
-0.10463679,1.164
-0.00716624,0.235
-0.0904226,0.151
-0.11045459,0.475
0.14856037,0.024
-0.00759524,-0.383
0.06232689,-0.244
0.19619934,-0.34
-0.44957397,0.175
-0.37482896,-0.299
0.1208825,0.855
-0.52493628,-1.38
0.00237959,-1.194
-0.06090976,-0.736
-0.19960418,0.691
0.15552562,-0.189
0.01169553,0.037
-0.56281983,-0.69
-0.10152712,-0.331
0.35122367,-0.819
-0.0242885,0.115
-0.49346333,1.439
0.0278596,-0.093
-0.34720939,-1.412
0.18868697,0.364
-0.10608334,-0.738
-0.11866322,0.163
-0.72720081,0.555
0.18212005,-0.189
-0.00155923,-1.099
0.00461241,0.272
-0.3050635,-0.983
-0.21927391,-2.377
0.13401616,-0.393
-0.05061768,-0.227
-0.06543858,-0.189
-0.00093971,-0.957
0.33113622,0.03
-0.155633,-0.376
-0.04459565,-1.03
0.18753079,0.654
-0.00767218,-0.299
-0.04630738,-0.189
-0.22649956,-0.542
-0.14223878,-0.269
0.08769749,1.688
0.07145699,-0.34
0.27222896,-0.516
0.27012379,1.483
0.12174406,-0.457
-0.29641433,-0.492
-0.13093672,-0.225
0.14615435,0.584
-0.15449371,-0.248
0.35242326,1.075
-0.33829758,-0.054
-0.01411027,0.886
0.18320728,-0.409
0.34204719,-0.929
-0.21460083,0.382
-0.14191996,-0.092
0.07865763,-0.376
-0.16984517,0.558
-0.00548453,-0.3
-0.01801752,-0.028
-0.29774774,-0.74
0.01118425,-0.53
0.12890058,-0.181
-0.13063114,-0.486
0.00292456,-0.237
0.07573684,-0.021
0.11982679,0.888
0.14830704,0.193
0.15289648,-0.324
0.24034547,0.792
-0.22475883,0.793
-0.25589544,-0.227
0.0004236,-0.205
-0.6063029,-0.189
-0.54462986,-0.69
-0.29126672,-0.309
0.22922709,-0.453
0.28883154,-0.823
-0.57577915,0.732
0.00536774,-0.854
0.03813123,-0.486
-0.15912035,0.472
0.32000841,-0.483
-0.32984785,-0.708
0.34759748,0.472
0.11259894,-0.319
-0.03587018,1.114
-0.03791563,1.398
-0.09199745,-1.501
-0.18021394,-0.366
-0.04731781,1.113
-0.70803412,0.149
-0.2085493,-0.439
-0.72412728,-0.241
0.31090113,0.358
-0.15097413,-1.022
0.20894258,2.103
-0.00927845,-1.205
-0.04259927,0.22
0.26003098,-0.433
0.40429509,-0.237
0.21196875,0.149
0.07038544,0.394
0.15226186,-0.211
-0.63101942,-0.189
-0.18529864,-0.712
-0.06377269,-0.455
-0.11733748,0.93
0.1586944,-0.518
-0.15944717,-0.817
0.12254157,0.598
0.03824481,-0.189
0.25513311,0.803
-0.63044855,-0.804
-0.24947642,-1.414
0.12578696,0.413
0.1939455,0.108
-0.13449268,-0.325
0.09812695,0.754
-0.05984673,-0.189
-0.2344407,2.124
-0.29464881,0.934
-0.02491192,-0.189
0.00673455,-0.404
-0.0990157,-0.261
-0.08919072,-1.62
-0.29568315,-0.702
0.0220023,-0.429
-0.10222848,1.362
-0.23488352,0.257
-0.08657097,-0.633
-0.25388544,0.072
-0.13621663,-0.189
-0.21369883,1.089
-0.46040828,0.149
0.12907442,0.07
-0.03464374,-0.109
-0.31412001,-0.264
0.16807661,1.258
0.01168069,-0.905
-0.00456712,-0.414
0.31465257,0.181
-0.10885044,-0.037
0.00801625,-0.121
0.05450788,0.784
0.04712291,-0.189
0.08739141,0.514
0.30026805,0.53
0.31844062,0.956
-0.20808903,-0.394
0.25788612,1.491
0.04130082,-0.72
0.32255957,-0.753
0.55570052,2.117
0.43165661,0.792
0.32140451,-0.46
-0.22994546,-0.229
-0.40050341,-0.658
-0.35314033,-0.341
0.4231533,1.039
-0.26892912,-0.189
-0.2225295,-0.583
0.19162963,-0.225
-0.0348842,0.982
0.01630469,-0.189
-0.22976452,-0.39
-0.28439675,-0.059
0.00324672,-0.189
-0.04015956,0.249
-0.48112506,-0.324
-0.00258121,-0.239
0.43538358,0.98
-0.19832984,-0.887
-0.20848206,-0.506
-0.59152026,-0.189
-0.04563673,0.838
0.06678035,-0.078
0.09485435,0.524
-0.20717628,-1.515
-0.1991818,0.253
-0.49900825,-0.167
-0.18362668,-0.798
-0.17583885,0.668
-0.17214063,-0.189
0.2311285,0.497
-0.23578787,-0.42
-0.12876726,-0.396
0.16590766,0.559
-0.37762902,0.93
-0.61626792,-0.435
-0.10429814,-0.179
0.14785502,0.364
0.02556716,-0.769
-0.43630637,-0.26
-0.30359275,0.428
-0.38925087,-0.854
0.15099718,0.171
-0.3399376,-0.185
0.18189735,0.336
-0.3109087,0.033
0.04949609,-0.393
0.18665505,-0.245
0.27663404,0.363
-0.08211701,0.938
-0.06801259,1.052
0.2038283,-0.229
-0.06487039,-1.482
-0.36899812,-0.015
-0.32523377,-0.388
-0.31217412,0.092
0.10031078,-0.038
0.33555189,-0.189
0.32877992,0.704
0.34049305,-0.069
0.08008797,-0.133
-0.0502704,0.319
-0.0916679,0.221
-0.07368633,0.59
0.28174554,0.024
-0.28486957,0.21
0.11085087,-0.877
-0.41908562,1.143
0.1071081,-0.147
0.07758256,-0.243
-0.37893627,-0.033
-0.26158463,2.255
-0.12175284,-0.607
-0.09851572,1.293
-0.13675293,-0.411
0.08145913,0.558
0.0289586,-0.293
-0.24668489,-0.827
-0.23112409,0.196
0.38057115,0.633
-0.4661418,-0.244
-0.73662735,1.868
-0.30658814,-0.682
-0.01824387,-0.464
0.00783851,-0.425
0.50295465,1.318
0.17280082,-0.225
-0.29682749,0.252
0.24287699,-0.517
-0.01917573,1.129
-0.24359606,-0.107
0.17042801,-0.641
0.22487563,0.139
-0.18728159,-0.256
0.41289468,0.771
-0.36602575,0.429
0.23351804,0.365
0.04092577,1.123
0.10928787,-0.101
-0.09933946,0.034
-0.44783635,-0.376
-0.08499147,0.161
0.35980035,-0.131
-0.50970415,-0.475
0.09060477,-0.611
-0.01726083,0.667
-0.01827721,-1.142
0.42296413,0.979
-0.12413592,-0.189
0.13069358,-0.292
-0.21987806,-0.143
0.01891954,-0.39
-0.31929253,1.22
-0.32382663,1.077
-0.49649886,0.093
-0.14353072,-0.227
0.26787831,-0.403
0.1050809,-0.225
-0.27160565,-0.794
0.14552294,0.178
-0.07769248,-0.227
0.03342937,1.465
-0.49067074,-1.243
0.24791608,-0.204
0.11685845,-0.349
-0.35532287,-0.189
